Config: {'device': 'cuda', 'batch_size': 128, 'num_workers': 8, 'pin_memory': False, 'non_blocking': False, 'persistent_workers': True, 'none_gradients': False, 'cudnn_benchmark': False, 'amp': False, 'learning_rate': 0.0001, 'epochs': 20, 'use_val': True, 'benchmark': False}, Times: [115.66206693649292, 118.12186884880066, 115.8123128414154], Average Time: 116.5321
Config: {'device': 'cuda', 'batch_size': 128, 'num_workers': 8, 'pin_memory': False, 'non_blocking': False, 'persistent_workers': True, 'none_gradients': False, 'cudnn_benchmark': False, 'amp': True, 'learning_rate': 0.0001, 'epochs': 20, 'use_val': True, 'benchmark': False}, Times: [101.27739000320435, 104.76640558242798, 103.43887495994568], Average Time: 103.1609
Config: {'device': 'cuda', 'batch_size': 128, 'num_workers': 8, 'pin_memory': False, 'non_blocking': False, 'persistent_workers': True, 'none_gradients': False, 'cudnn_benchmark': True, 'amp': False, 'learning_rate': 0.0001, 'epochs': 20, 'use_val': True, 'benchmark': False}, Times: [115.49560523033142, 115.71725535392761, 118.38640332221985], Average Time: 116.5331
Config: {'device': 'cuda', 'batch_size': 128, 'num_workers': 8, 'pin_memory': False, 'non_blocking': False, 'persistent_workers': True, 'none_gradients': False, 'cudnn_benchmark': True, 'amp': True, 'learning_rate': 0.0001, 'epochs': 20, 'use_val': True, 'benchmark': False}, Times: [104.63895678520203, 104.44514012336731, 104.68236708641052], Average Time: 104.5888
Config: {'device': 'cuda', 'batch_size': 128, 'num_workers': 8, 'pin_memory': False, 'non_blocking': False, 'persistent_workers': True, 'none_gradients': True, 'cudnn_benchmark': False, 'amp': False, 'learning_rate': 0.0001, 'epochs': 20, 'use_val': True, 'benchmark': False}, Times: [118.2107720375061, 118.32523250579834, 117.51140093803406], Average Time: 118.0158
Config: {'device': 'cuda', 'batch_size': 128, 'num_workers': 8, 'pin_memory': False, 'non_blocking': False, 'persistent_workers': True, 'none_gradients': True, 'cudnn_benchmark': False, 'amp': True, 'learning_rate': 0.0001, 'epochs': 20, 'use_val': True, 'benchmark': False}, Times: [104.02961778640747, 104.1596610546112, 103.84413576126099], Average Time: 104.0111
Config: {'device': 'cuda', 'batch_size': 128, 'num_workers': 8, 'pin_memory': False, 'non_blocking': False, 'persistent_workers': True, 'none_gradients': True, 'cudnn_benchmark': True, 'amp': False, 'learning_rate': 0.0001, 'epochs': 20, 'use_val': True, 'benchmark': False}, Times: [117.29224276542664, 116.5188946723938, 117.31340193748474], Average Time: 117.0415
Config: {'device': 'cuda', 'batch_size': 128, 'num_workers': 8, 'pin_memory': False, 'non_blocking': False, 'persistent_workers': True, 'none_gradients': True, 'cudnn_benchmark': True, 'amp': True, 'learning_rate': 0.0001, 'epochs': 20, 'use_val': True, 'benchmark': False}, Times: [104.49725675582886, 104.31203484535217, 104.19683694839478], Average Time: 104.3354
Config: {'device': 'cuda', 'batch_size': 128, 'num_workers': 8, 'pin_memory': False, 'non_blocking': True, 'persistent_workers': True, 'none_gradients': False, 'cudnn_benchmark': False, 'amp': False, 'learning_rate': 0.0001, 'epochs': 20, 'use_val': True, 'benchmark': False}, Times: [116.7175452709198, 116.42143821716309, 116.90763926506042], Average Time: 116.6822
Config: {'device': 'cuda', 'batch_size': 128, 'num_workers': 8, 'pin_memory': False, 'non_blocking': True, 'persistent_workers': True, 'none_gradients': False, 'cudnn_benchmark': False, 'amp': True, 'learning_rate': 0.0001, 'epochs': 20, 'use_val': True, 'benchmark': False}, Times: [104.07862639427185, 104.21843934059143, 103.71721243858337], Average Time: 104.0048
Config: {'device': 'cuda', 'batch_size': 128, 'num_workers': 8, 'pin_memory': False, 'non_blocking': True, 'persistent_workers': True, 'none_gradients': False, 'cudnn_benchmark': True, 'amp': False, 'learning_rate': 0.0001, 'epochs': 20, 'use_val': True, 'benchmark': False}, Times: [116.95791888237, 117.13868021965027, 117.59719276428223], Average Time: 117.2313
